	Dekker_et_al_individual1_CHX	Dekker_et_al_individual1_untreated	Dekker_et_al_individual2_CHX	Dekker_et_al_individual2_untreated	Dekker_et_al_individual3_CHX	Dekker_et_al_individual3_untreated	Dekker_et_al_individual4_CHX	Dekker_et_al_individual4_untreated	Dekker_et_al_individual5_CHX	Dekker_et_al_individual5_untreated	Dekker_et_al_individual6_CHX	Dekker_et_al_individual6_untreated	Dekker_et_al_individual7_CHX	Dekker_et_al_individual7_untreated	Dekker_et_al_individual8_CHX	Dekker_et_al_individual8_untreated	Dekker_et_al_individual9_CHX	Dekker_et_al_individual9_untreated
chr1_200708699_200829832_CAMSAP2	15534	4247	5893	18982	11447	30865	3865	4374	16371	6903	9709	4834	3883	3380	2925	9799	4499	5005
chr1_200842108_200843306_GPR25	0	0	0	0	0	0	4	0	3	0	0	0	1	0	0	5	1	0
chr1_200860658_200884870_INAVA	44	96	0	50	5	6	37	6	12	0	4	2	8	0	1	8	0	285
chr1_200898071_200935796_MROH3P	0	0	10	2	0	0	0	0	0	8	1	0	2	6	0	0	0	2
chr1_200938517_200992842_KIF21B	267	12	72	0	63	0	58	20	0	2	8	4	22	2	64	12	0	148
chr1_201008639_201081554_CACNA1S	0	0	17	87	0	6	6	0	17	0	0	0	0	11	1	2	2	6
chr1_201083080_201084500_ASCL5	4	0	1	0	0	2	0	6	2	1	6	0	0	3	0	0	0	2
chr1_201103898_201140710_TMEM9	920	3391	810	827	346	322	1601	2378	1328	1698	1992	1606	1999	1334	2021	1700	598	3690
chr1_201159951_201198080_IGFN1	1	0	4	22	12	2	21	7	32	11	4	15	2	6	2	0	0	27
chr1_201252579_201302121_PKP1	137	56	243	2	21	4	40	31	63	53	13	8	41	44	87	37	30	66
chr1_201328141_201346808_TNNT2	16	0	92	166	132	5	13	35	30	8	7	18	225	44	14	37	80	33
chr1_201349960_201368452_LAD1	3	40	1	0	1	19	30	19	117	0	41	0	11	10	24	0	0	16
chr1_201372911_201390858_TNNI1	7	3	42	4	11	62	51	79	0	145	145	3	13	174	0	1	0	36
chr1_201433405_201438316_PHLDA3	6467	14338	5262	9380	4699	6782	5321	9231	6730	5252	8881	4906	5379	839	2987	12817	6417	3924
chr1_201452657_201476251_CSRP1	14560	29738	47314	11112	18124	28100	19553	18742	49676	23674	2451	21754	11845	23094	22168	36796	28472	8542
chr1_201476340_201503912_LOC107985246	434	140	247	250	603	188	277	297	202	159	183	83	224	634	134	98	139	182
chr1_201489031_201489730_RPS10P7	14	15	26	23	9	23	20	87	76	8	5	15	32	65	0	65	29	6
chr1_201617449_201796102_NAV1	13949	36155	9808	7777	8646	4242	15442	7092	13807	4714	5765	13018	593	17575	5092	26348	28995	3671
chr1_201657383_201798687_IPO9-AS1	7747	618	12719	28118	3719	35482	25754	8344	13245	17004	4200	9094	4916	16837	25397	14998	5767	13521
chr1_201688635_201688755_MIR5191	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2
chr1_201777738_201777830_MIR1231	1	0	12	1	3	0	3	6	14	2	6	3	6	2	2	2	1	10
chr1_201798284_201853419_IPO9	7843	8127	2609	12177	4404	8052	5307	3348	4327	6029	5646	2938	7627	4352	4911	2416	10078	5940
chr1_201832500_201832575_MIR6739	2	9	2	5	1	0	5	6	1	5	7	6	11	1	11	3	0	10
chr1_201857796_201861715_SHISA4	398	879	2051	1583	856	560	1037	840	846	646	959	996	847	780	2314	1038	1618	763
chr1_201865583_201915676_LMOD1	5581	6022	3373	2039	1484	1250	4287	2018	5805	5107	3569	5605	220	1058	2485	835	2852	2378
chr1_201924630_201939792_TIMM17A	7439	3945	7085	3584	3947	3031	3016	4396	1862	5192	2867	2609	3388	4718	3943	3152	2011	7130
chr1_201947588_201947723_SNORA70H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr1_201951775_201975271_RNPEP	5055	742	1403	219	1506	2590	4830	1958	2159	4047	3612	1921	3048	848	3299	1036	2724	4652
chr1_201969178_201979481_ELF3-AS1	103	2645	511	859	2621	2081	1541	1153	594	930	2565	1752	2314	405	1544	894	4333	1890
chr1_201972251_201972364_MIR6740	1	0	2	2	0	2	0	0	0	0	0	3	0	0	1	0	0	1
chr1_201979714_201986311_ELF3	116	0	4	2	254	2	5	6	8	24	69	48	10	7	100	3	120	0
chr1_202092044_202102720_GPR37L1	189	278	85	127	85	72	280	96	113	184	45	40	98	66	132	59	181	43
chr1_202102531_202113871_ARL8A	1713	2707	1891	1574	481	1640	1044	1215	844	877	320	1426	1373	1868	1162	1312	1408	1930
chr1_202116140_202130716_PTPN7	4	2	0	0	0	1	4	0	8	0	0	0	3	2	0	2	5	0
chr1_202137178_202158577_PTPRVP	2	2	2	4	3	2	0	6	4	5	2	2	0	0	3	4	9	4
chr1_202163117_202288889_LGR6	60	2	78	73	190	151	48	61	93	43	68	1	0	72	38	0	58	16
chr1_202300784_202311094_UBE2T	47	363	633	188	73	202	119	398	253	93	467	415	826	66	286	228	45	23
chr1_202317826_202561830_PPP1R12B	861	900	572	352	815	616	596	1018	398	176	2095	1632	425	1226	1141	1552	488	1560
chr1_202559723_202679582_SYT2	36	20	36	20	99	21	31	37	41	82	17	23	36	71	72	97	210	60
chr1_202693622_202778598_KDM5B	17736	10352	18696	6318	14934	7789	5888	9570	6916	1878	25291	5349	8216	32482	15077	8095	4310	28512
chr1_202780073_202781041_PCAT6	64	41	62	49	32	72	48	135	22	16	0	107	94	60	48	32	14	34
chr1_202789384_202796353_MGAT4EP	0	0	0	0	2	0	1	1	0	0	2	0	0	0	0	0	0	0
chr1_202830881_202844369_LOC148709	4	0	9	2	1	4	22	19	4	8	0	5	4	2	0	5	4	7
chr1_202847409_202858277_RABIF	13	101	525	319	321	599	486	363	115	178	503	91	422	327	274	423	233	94
chr1_202860247_202897727_KLHL12	805	99	805	2079	1517	413	1396	489	2253	995	2196	1886	3118	909	2530	1384	1667	773
chr1_202909952_202927700_ADIPOR1	4698	3748	2133	5078	1395	2182	1529	3138	3845	1141	187	2803	3317	4164	2595	2776	3346	4156
chr1_202931000_202936385_CYB5R1	1214	709	565	2121	1690	1299	616	1490	1351	1929	1245	1698	1286	1707	1668	1567	1409	2760
chr1_202955579_202976393_MGAT4FP	1	5	6	6	1	5	5	0	3	30	3	3	5	8	7	12	4	1
chr1_202976494_202993976_TMEM183A	3019	3932	3383	1754	3698	4199	3052	1322	1745	3154	156	1227	2402	3064	1607	3240	2323	2720
chr1_202995618_203047864_PPFIA4	86	6	2420	1043	21	328	1662	63	359	70	99	72	1155	25	366	39	136	447
chr1_203052256_203055140_MYOG	0	0	0	0	0	18	0	0	0	0	0	0	0	59	0	0	0	0
chr1_203052922_203057468_MYOPARR	0	0	0	0	0	0	0	0	1	0	0	45	0	0	0	0	0	0
chr1_203096853_203136533_ADORA1	26	59	80	22	2	83	105	52	261	4	169	24	9	0	8	99	0	15
chr1_203136938_203144954_MYBPH	8	2	0	2	57	4	0	16	0	0	98	0	32	2	0	2	12	0
chr1_203148058_203155832_CHI3L1	201	45	8	4	171	12	38	16	47	0	313	120	53	99	62	0	49	6
chr1_203185206_203198801_CHIT1	4	0	0	0	5	5	0	0	0	6	0	2	0	0	0	1	0	0
chr1_203256279_203257926_LINC01353	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0
chr1_203267885_203274453_LINC01136	11	0	4	0	0	0	0	26	4	5	10	0	6	0	0	0	0	12
chr1_203274646_203278730_BTG2	423	1755	12081	464	384	483	337	2131	2713	5496	524	333	6254	324	844	556	2711	2119
chr1_203309755_203320250_FMOD	549	2472	526	6982	11519	1342	1053	3374	2547	3339	863	948	3249	1316	1321	1193	2005	2946
chr1_203444933_203460480_PRELP	3825	1514	195	81	432	1044	173	251	4821	80	1267	437	1560	156	403	157	2329	340
chr1_203463280_203478077_OPTC	0	5	2	34	12	43	0	7	8	31	56	24	14	2	10	17	13	9
chr1_203595914_203713209_ATP2B4	35480	3174	6054	8888	16355	41590	2634	1836	13920	33642	4280	21262	27647	5220	4094	12126	585	9367
chr1_203698708_203698833_SNORA77	0	0	8	3	3	0	0	8	9	3	1	9	0	0	0	7	1	0
chr1_203699704_203700981_LINC00260	30	0	2	25	0	1	5	2	24	26	0	5	38	16	32	0	0	43
chr1_203734310_203745500_LAX1	5	0	0	2	1	0	0	4	2	0	4	0	4	0	1	0	0	2
chr1_203764664_203823256_ZC3H11A	10686	28266	6747	2260	11556	8059	10995	19506	38047	11913	6486	28060	9159	9478	15087	8037	26473	14948
chr1_203766650_203770202_ZBED6	1484	1237	727	141	562	442	1221	1569	648	658	2404	1176	1000	1228	325	1772	540	992
chr1_203830726_203840280_SNRPE	491	466	469	1153	641	732	708	445	763	728	318	345	1031	896	227	531	395	791
chr1_204001574_204010392_LINC00303	0	0	1	0	2	8	0	0	0	2	0	0	0	0	2	0	0	2
chr1_204042242_204096871_SOX13	1512	626	2942	1732	521	1424	373	10442	611	752	835	2373	826	1164	352	1020	4249	653
chr1_204100189_204121172_ETNK2	95	101	430	225	138	171	232	71	212	226	11	208	505	128	92	76	18	850
chr1_204110535_204112137_ERLNC1	13	3	10	27	2	29	31	30	13	9	18	19	25	18	29	92	11	60
chr1_204123946_204135465_REN	2	0	36	21	0	0	0	0	35	6	12	0	10	4	2	41	2	0
chr1_204159468_204165619_KISS1	8	2	12	38	17	49	11	51	39	0	22	0	0	2	9	262	12	0
chr1_204167290_204183116_GOLT1A	0	0	0	12	22	0	0	0	0	28	0	2	11	10	2	4	0	20
chr1_204187980_204329057_PLEKHA6	196	131	142	97	195	64	51	124	118	426	276	340	348	704	333	321	96	161
chr1_204337557_204338847_LINC00628	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1
chr1_204372491_204380945_PPP1R15B	4599	3507	6441	6217	2106	1903	2714	10190	4220	4685	1928	624	2984	3939	8044	3292	3379	3291
chr1_204391757_204459474_PIK3C2B	6	20	26	559	62	14	13	43	24	32	30	16	124	124	21	74	62	69
chr1_204475654_204475727_TRK-TTT3-1	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	2
chr1_204476157_204476230_TRK-TTT3-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_204485506_204527248_MDM4	518	711	560	1208	739	762	158	834	1756	1597	620	977	1044	1371	849	1138	1309	468
chr1_204586297_204654866_LRRN2	236	19	21	281	921	438	384	281	10	304	673	16	4	86	64	6	162	264
chr1_204797779_204991950_NFASC	7081	7405	10480	8179	19715	5404	5256	8167	9562	7993	5085	14689	11438	9311	1595	12799	1656	7583
chr1_205012076_205047417_CNTN2	0	1	2	1	1	0	0	1	0	2	2	2	2	3	0	10	0	14
chr1_205052256_205053588_TMEM81	25	62	117	22	41	53	102	11	56	6	59	20	51	32	21	50	30	8
chr1_205055269_205091106_RBBP5	232	1326	2839	2589	883	1074	1601	1292	2019	1155	2506	1100	3441	2346	4603	1997	1033	1789
chr1_205111632_205180830_DSTYK	3991	6975	3059	2734	1998	2852	2675	2769	4498	2702	3008	4403	2339	297	4245	3420	1895	3793
chr1_205197073_205242471_TMCC2	118	197	516	103	157	7	116	386	329	149	67	89	328	158	190	284	399	187
chr1_205271190_205290873_NUAK2	346	425	878	21305	178	3594	3411	578	343	7806	7193	3411	190	513	4819	247	9556	4478
chr1_205305188_205326218_KLHDC8A	16	52	54	54	11	15	4	26	9	4	9	1	16	14	14	19	12	4
chr1_205342379_205356568_LEMD1-AS1	47	2	0	19	6	2	32	0	4	0	0	34	0	2	0	6	0	46
chr1_205350505_205391184_LEMD1	37	20	0	2	0	0	50	6	0	6	0	43	4	0	1	0	9	0
chr1_205404013_205425214_BLACAT1	0	2	8	0	4	0	0	0	0	5	0	2	2	2	2	0	8	2
chr1_205417429_205417526_MIR135B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_205425185_205438152_LEMD1-DT	0	0	0	0	0	0	2	0	9	0	0	0	0	0	4	0	2	0
chr1_205443270_205443343_TRK-TTT8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_205473796_205501918_CDK18	131	39	45	2	31	31	2	4	8	24	8	61	9	28	32	25	33	24
chr1_205523399_205538433_MFSD4A-AS1	0	42	10	4	23	0	0	6	0	8	1	0	0	0	0	1	23	41
chr1_205538141_205572046_MFSD4A	28	167	71	35	12	166	20	48	20	40	19	270	209	43	52	75	4	75
chr1_205577070_205602000_ELK4	1431	2023	2754	1434	827	1491	395	1786	2979	592	1407	3138	2638	1562	124	1610	1194	2281
chr1_205626978_205649637_SLC45A3	151	554	214	1580	281	167	59	55	554	68	545	52	136	56	99	102	147	138
chr1_205681949_205719310_NUCKS1	19906	5264	14214	11593	17023	5526	12102	3236	22945	8433	9126	549	10784	11173	14537	9553	17415	6665
chr1_205737113_205744610_RAB29	1322	2910	1354	1346	1072	379	955	1626	729	991	994	1213	603	543	920	50	764	940
chr1_205758222_205782326_SLC41A1	3469	3472	4229	5788	7009	3467	2952	2192	2598	2333	1919	7198	3948	2534	5330	351	2084	6958
chr1_205797152_205819260_PM20D1	28	17	7	28	2	7	6	9	9	72	14	10	14	4	4	7	19	15
chr1_205831206_205865215_LOC284581	245	12	8	238	22	1531	20	8	1231	49	841	1601	1225	291	129	249	716	8
chr1_205882175_205912588_SLC26A9	22	6	0	35	0	12	2	2	27	2	0	0	0	2	0	1	4	9
chr1_206137264_206155151_FAM72A	348	423	590	710	620	814	527	720	1248	341	390	818	183	661	588	266	392	393
chr1_206223942_206234395_AVPR1B	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	2
chr1_206238881_206288197_RHEX	8	2	9	8	0	7	4	16	7	7	19	3	24	4	3	9	11	7
chr1_206317472_206332104_CTSE	0	0	2	0	7	0	0	37	54	0	45	0	0	63	80	0	5	0
chr1_206516196_206637783_SRGAP2	6202	1798	5073	1657	1405	4873	3875	7217	5453	787	4665	1901	7730	5028	2184	4034	7224	5330
chr1_206643818_206670222_IKBKE	109	1166	611	462	532	1426	647	472	960	1283	582	3232	666	4330	2765	531	514	440
chr1_206648145_206648207_MIR6769B	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	1	2	0
chr1_206680863_206762780_RASSF5	178	209	277	215	186	100	312	73	122	97	326	222	409	174	110	168	54	106
chr1_206764973_206785904_EIF2D	2314	3536	1207	2704	1260	1696	1769	7303	2662	1684	2307	2437	295	2010	4931	981	3624	2112
chr1_206808880_206828520_DYRK3	1183	7038	1455	1755	5971	3213	2134	2915	443	1701	1959	1283	3504	860	3696	2423	2085	1625
chr1_206858249_206907626_MAPKAPK2	5822	8051	7995	5488	8163	4783	3523	8606	6225	5997	4644	3913	806	2693	10291	6300	8399	5930
chr1_206940946_206945839_IL10	2	1	0	0	0	4	3	0	2	0	0	1	2	0	0	0	2	0
chr1_206944117_207016326_IL19	1	2	0	1	26	28	27	0	33	2	0	2	8	6	0	95	0	45
chr1_207039153_207042568_IL20	0	2	2	2	0	0	0	0	0	9	32	7	0	6	20	2	23	0
chr1_207070787_207077484_IL24	1623	7	11	24	139	9	33	63	0	36	11	12	1382	18	38	26	151	138
chr1_207076661_207095286_FCMR	29	99	262	35	182	41	93	131	154	324	1098	113	76	22	9	1064	6	12
chr1_207101866_207119811_PIGR	0	0	8	0	4	2	7	0	0	0	9	0	0	0	4	0	0	0
chr1_207131311_207143970_FCAMR	12	6	0	1	0	0	2	0	0	12	0	3	1	5	0	0	0	0
chr1_207191866_207206101_C1orf116	0	4	2	0	369	4	73	0	80	31	0	0	22	12	27	198	363	4
chr1_207217193_207226325_YOD1	526	807	525	1202	299	1369	482	694	78	628	396	1329	653	1318	756	433	329	377
chr1_207226619_207254372_PFKFB2	731	419	389	531	286	647	587	668	338	532	562	521	554	542	834	415	1411	58
chr1_207262204_207273338_C4BPB	0	7	0	6	0	0	0	0	5	6	4	0	8	0	16	0	0	2
chr1_207277577_207318317_C4BPA	4	3	3	7	23	5	5	13	8	2	2	4	9	4	4	6	7	6
chr1_207495022_207534311_CD55	12013	3004	3205	6271	3232	3987	3270	3065	2966	6360	1427	4076	7413	1410	5937	4982	2717	5731
chr1_207627644_207663240_CR2	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0
chr1_207669501_207815110_CR1	0	1	6	0	0	0	0	4	2	2	0	0	7	0	11	2	0	0
chr1_207818477_207897048_CR1L	6	6	113	4	40	14	8	6	31	4	82	80	9	15	178	74	43	6
chr1_207925382_207968861_CD46	1586	185	5148	4566	5284	1615	2166	906	3507	2477	10622	4318	4200	2318	3883	5534	4894	422
chr1_207974862_207996048_MIR29B2CHG	6	29	75	15	33	14	13	10	20	12	4	58	17	5	18	60	28	4
chr1_207975196_207975284_MIR29C	4	2	5	0	2	0	0	0	6	0	0	1	1	1	0	0	1	0
chr1_207975787_207975868_MIR29B2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3
chr1_207991723_207995941_LOC148696	0	2	1	2	0	2	0	0	0	2	0	0	0	8	0	0	0	2
chr1_208054316_208084470_CD34	246	4	360	486	418	173	231	263	40	41	13	81	561	59	254	427	18	18
chr1_208195586_208417729_PLXNA2	2982	207	2054	792	145	1352	36	429	321	1226	824	4546	2467	1534	1903	3071	1827	677
chr1_208902032_208906529_LINC01717	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
chr1_209145798_209148652_LINC01774	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	2	21	2
chr1_209498800_209501877_LINC01696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_209545399_209553035_LINC01698	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
chr1_209602164_209605894_MIR205HG	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	9
chr1_209605477_209605587_MIR205	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
chr1_209757058_209787284_CAMK1G	4	20	0	41	0	24	64	654	0	60	4	307	177	2	34	120	67	10
chr1_209788214_209825770_LAMB3	935	1023	1044	364	2469	342	1697	303	490	659	3746	201	194	1367	2020	1311	467	312
chr1_209796788_209796855_MIR4260	89	28	24	12	69	16	45	34	73	6	15	45	14	8	42	184	50	17
chr1_209834703_209915907_HSD11B1-AS1	346	225	1000	115	225	749	147	561	221	350	967	177	41	168	92	642	51	91
chr1_209848756_209849735_G0S2	215	61	674	287	365	170	534	595	170	54	156	417	821	165	7	105	78	357
chr1_209859524_209908295_HSD11B1	12	59	10	493	126	43	10	6	97	28	115	37	150	12	10	38	8	49
chr1_209929397_209955668_TRAF3IP3	234	123	71	68	43	40	44	37	14	46	82	34	192	41	154	328	44	89
chr1_209952552_209957904_C1orf74	121	152	138	522	140	110	205	755	111	217	392	98	379	116	220	186	82	511
chr1_209958961_209979520_IRF6	0	73	27	6184	318	79	645	3180	2	24	63	117	685	458	767	119	68	144
chr1_210001316_210030910_UTP25	1824	2200	2547	3350	3707	3192	3934	2796	3877	2795	7876	3639	3946	5979	3653	3154	3310	3597
chr1_210111518_210344734_SYT14	104	284	927	118	736	1740	314	78	332	1085	322	809	125	731	874	172	116	398
chr1_210404800_210407230_SERTAD4-AS1	57	75	452	45	41	762	22	687	47	972	297	94	329	40	219	74	112	240
chr1_210406140_210419976_SERTAD4	1421	736	430	163	201	205	2255	2433	815	1449	257	145	1227	601	306	137	103	567
chr1_210501595_210849638_HHAT	187	176	351	242	209	349	289	328	506	34	349	163	211	158	282	245	1074	706
chr1_210851655_211307490_KCNH1	889	1958	1087	683	643	515	1089	230	414	2604	218	6002	270	248	851	572	119	19722
chr1_211305620_211306716_KCNH1-IT1	12	0	2	15	0	0	134	4	2	10	1	0	222	70	8	62	3	4
chr1_211432618_211489727_RCOR3	2291	1256	4080	7121	1577	1156	2810	139	1910	2471	2006	1592	1415	1307	2382	2124	2038	2334
chr1_211499956_211548288_TRAF5	95	1326	2642	343	2651	882	2666	25	123	2011	185	3415	1465	53	1757	2628	269	1664
chr1_211556096_211605877_LINC00467	73	396	116	92	533	163	14	76	101	247	176	167	230	133	124	140	175	167
chr1_211649863_211666259_RD3	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	1	0	1
chr1_211744909_211752503_SLC30A1	3234	2392	7663	9798	3391	2743	19606	3106	6057	24901	3027	12293	17833	24566	4918	44609	3873	4953
chr1_211813149_211827964_LINC01693	0	0	2	0	0	2	0	2	0	2	1	9	4	4	0	0	0	0
chr1_211831597_211848972_NEK2	1075	718	2757	350	1345	373	650	137	177	250	704	900	392	322	230	227	301	373
chr1_211849103_211860801_LOC91548	0	12	8	0	5	0	2	2	3	2	9	0	11	3	0	1	2	0
chr1_211916798_212004105_LPGAT1	3659	4040	175	2186	2709	3343	3194	2624	5265	4210	1994	2742	1222	3452	2499	6440	4744	1408
chr1_212002978_212027045_LPGAT1-AS1	41	30	7	35	122	166	120	43	29	140	108	235	23	61	290	35	158	22
chr1_212113740_212209002_INTS7	1723	782	2991	1616	1568	1290	270	966	4544	1332	4149	2046	1013	2434	1120	2343	1246	5909
chr1_212208894_212278355_DTL	1781	1804	1790	761	1097	182	858	974	1445	894	2108	102	515	624	381	2137	581	723
chr1_212224827_212225393_RPL21P28	32	24	22	24	83	28	16	92	12	17	66	27	99	32	63	33	25	26
chr1_212250954_212251027_MIR3122	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr1_212386343_212458363_LINC02608	2	17	12	0	0	8	8	0	0	14	0	0	10	10	3	6	4	8
chr1_212458751_212535195_PPP2R5A	118	2256	477	1441	507	526	2621	1882	1277	1038	1132	1297	228	1043	1780	1629	1296	2074
chr1_212526159_212526292_SNORA16B	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0
chr1_212537269_212588243_PACC1	211	79	133	325	330	204	69	279	88	62	22	12	44	57	189	337	373	283
chr1_212606261_212619721_NENF	1684	436	371	1050	897	867	945	78	1677	186	1729	970	1023	1005	376	979	1330	647
chr1_212719035_212729408_LINC01740	0	0	0	2	0	1	0	2	6	0	0	0	0	3	1	0	2	0
chr1_212738675_212794119_ATF3	873	709	641	816	359	4220	492	500	4149	12789	4090	25064	6032	33539	1123	263	1946	8235
chr1_212797815_212800117_FAM71A	0	0	4	0	4	0	2	6	0	17	0	2	4	4	0	4	2	6
chr1_212859758_212873182_BATF3	41	25	53	101	27	190	222	56	14	131	43	14	30	105	96	78	23	95
chr1_212899494_212965119_NSL1	1240	567	33	558	1066	632	311	313	844	488	745	426	416	256	676	1034	1619	556
chr1_212965169_212990172_TATDN3	185	296	681	348	392	330	308	595	197	113	484	397	141	501	454	428	23	560
chr1_213003482_213020991_SPATA45	1	7	2	3	2	10	4	1	14	1	1	0	0	0	2	1	2	3
chr1_213029945_213031480_FLVCR1-DT	11	6	1	25	32	20	16	6	9	1	7	14	13	0	5	20	3	4
chr1_213031616_213072705_FLVCR1	452	133	32	199	147	279	205	157	223	466	189	284	163	135	177	322	823	470
chr1_213123882_213164927_VASH2	8	10	5	2	7	37	2	20	353	12	11	13	5	1	6	11	18	24
chr1_213165523_213189217_ANGEL2	445	1395	1268	870	129	1311	758	737	1847	897	963	182	448	941	25	273	124	1579
chr1_213224574_213448117_RPS6KC1	1923	1650	1933	2869	1336	1286	763	1906	3359	2467	927	1679	1105	1299	3302	2126	2837	2396
chr1_213992983_214159496_PROX1-AS1	2	4	0	0	2	2	5	2	2	0	4	0	2	0	0	0	4	4
chr1_214098091_214099997_LINC00538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_214161315_214214853_PROX1	18	23	47	20	28	35	18	12	24	92	8	31	115	4	31	25	44	59
chr1_214454501_214510474_SMYD2	1885	765	595	949	1417	1401	507	1333	81	1874	1513	361	456	960	1437	2691	2030	1422
chr1_214522042_214724945_PTPN14	37392	5354	8887	9454	13379	10077	17470	20049	10553	9430	17991	7374	15148	13368	12986	6966	1451	11864
chr1_214776537_214837914_CENPF	1777	7997	2107	4286	3390	1048	2400	2305	12087	13014	8110	2877	3620	5381	7959	431	411	3873
chr1_215178884_215410433_KCNK2	9161	4975	10165	10277	9601	4871	10108	6352	910	8009	4200	18137	8229	8247	5815	13478	11244	16259
chr1_215740646_215795149_KCTD3	3346	6112	3295	3081	2193	3019	5156	4019	4184	3081	2183	4429	4052	3702	2509	511	7638	1606
chr1_215796232_216596790_USH2A	8	575	23	14	310	1316	1139	4	394	6	3	331	521	5	632	1	10	10
chr1_216245806_216260259_LOC102723833	11	0	11	4	0	10	0	0	0	22	0	0	0	15	0	0	11	2
chr1_216676587_217311044_ESRRG	5	0	1	12	1	4	0	13	0	2	2	0	0	25	7	0	0	0
chr1_217600333_217804432_GPATCH2	2155	871	636	2969	770	1673	786	591	624	767	1207	2661	349	5112	3366	736	3625	1816
chr1_217804685_218045038_SPATA17	56	61	57	54	34	29	13	49	21	61	95	39	20	43	35	45	164	64
chr1_217954539_217958462_SPATA17-AS1	2	15	11	11	3	8	9	8	3	3	3	7	4	25	8	6	8	4
chr1_218066241_218094146_LINC00210	1	0	0	0	0	2	0	1	1	1	0	1	1	0	0	0	0	0
chr1_218216846_218232482_LINC01653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_218458634_218511325_RRP15	1673	896	5391	3710	1353	736	4082	4401	519	3283	856	3888	829	1100	971	1835	6683	978
chr1_218517537_218519020_TGFB2-AS1	3	448	3	1248	12	251	14	567	13	3	816	377	273	55	237	9	7	255
chr1_218518625_218617961_TGFB2	9193	136	4485	853	61	780	613	3987	8034	573	6801	17432	626	10709	21102	245	178	249
chr1_218615967_218617337_TGFB2-OT1	48	55	110	2264	164	54	564	27	1336	119	3203	25	2875	1132	145	2060	1785	3757
chr1_218683436_218699320_LINC02869	0	7	0	0	23	0	0	4	18	0	0	2	21	38	0	1	0	63
chr1_219086098_219091853_LINC01710	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_219254314_219347130_LYPLAL1-DT	2	14	4	41	8	1	4	59	81	9	55	29	18	20	10	17	62	12
chr1_219347172_219386207_LYPLAL1	616	1200	395	558	1305	742	387	316	316	64	466	1077	372	347	504	464	221	419
chr1_219608499_219730666_LYPLAL1-AS1	2	21	9	9	11	23	48	21	25	41	29	13	69	34	38	22	9	3
chr1_219781353_219786487_ZC3H11B	151	280	323	123	487	329	155	184	683	141	214	524	372	210	141	147	267	227
chr1_220087605_220101993_SLC30A10	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0
chr1_220141941_220219847_EPRS1	24213	3536	3078	8969	1478	10806	29398	2801	16129	15660	7736	21398	455	15866	27023	23514	18495	23809
chr1_220230823_220263195_BPNT1	1553	382	529	808	1867	1075	721	939	1209	1349	1239	523	1317	1219	778	943	543	971
chr1_220267473_220321383_IARS2	5208	6040	1265	7168	1877	747	2210	4505	7295	6862	2976	10647	4926	5035	2944	830	5402	294
chr1_220291194_220291304_MIR215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_220291498_220291583_MIR194-1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr1_220321634_220445795_RAB3GAP2	4471	5661	5416	10455	5463	7085	9512	27425	23128	8008	10039	20023	28256	5451	34018	15985	6135	7147
chr1_220373879_220373961_MIR664A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr1_220373887_220374018_SNORA36B	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr1_220439520_220441057_AURKAP1	59	24	43	12	15	26	16	11	82	1	7	88	41	26	5	7	21	49
chr1_220701477_220837803_MARK1	166	174	373	14	1150	431	250	319	343	241	302	126	305	76	322	114	345	189
