sampleID,geneID,pValue,padjust,zScore,l2fc,rawcounts,normcounts,meanCorrected,theta,aberrant,AberrantBySample,AberrantByGene,padj_rank,sample_name,TIN_mean,link_bam,chr,start,end,gene
S10_dekker_et_al,chr11_17097324_17097415_SNORD14B,0.940096112128557,1,-0.15,-0.08,18,27.4,29.04,83.95,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr11,17097324,17097415,SNORD14B
S4_dekker_et_al,chr11_18415935_18429972_LDHA,0.580632739015835,1,0.56,0.08,109501,83564.8,78956.67,80.89,FALSE,5,0,9429,S4_dekker_et_al,73.41,,chr11,18415935,18429972,LDHA
S4_dekker_et_al,chr11_18501857_18548489_TSG101,0.188556866594959,1,-1.25,-0.07,3263,3105.72,3259.09,989.78,FALSE,5,0,9429,S4_dekker_et_al,73.41,,chr11,18501857,18548489,TSG101
S18_dekker_et_al,chr11_18551152_18610281_UEVLD,0.564882837517019,1,0.59,0.05,1486,1594.3,1544.95,416.5,FALSE,5,0,9429,S18_dekker_et_al,73.41,,chr11,18551152,18610281,UEVLD
S18_dekker_et_al,chr11_27528398_27719718_BDNF-AS,0.99103187272698,1,0.06,-0.04,3419,2341.33,2406.81,10.97,FALSE,5,0,9429,S18_dekker_et_al,73.41,,chr11,27528398,27719718,BDNF-AS
S2_dekker_et_al,chr11_34127175_34168455_NAT10,0.283657284887349,1,-1.02,-0.1,2421,2431.67,2613.07,259.05,FALSE,5,1,9429,S2_dekker_et_al,73.41,,chr11,34127175,34168455,NAT10
S14_dekker_et_al,chr11_34172533_34379557_ABTB2,0.616117404789141,1,0.51,0.13,2556,1861.13,1697.72,21.39,FALSE,5,0,9429,S14_dekker_et_al,73.41,,chr11,34172533,34379557,ABTB2
S12_dekker_et_al,chr11_34903841_34937926_APIP,0.242037794917841,1,-1.18,-0.19,545,751.4,860.62,97.56,FALSE,5,0,9429,S12_dekker_et_al,73.41,,chr11,34903841,34937926,APIP
S16_dekker_et_al,chr11_35965530_36253686_LDLRAD3,0.689860596913499,1,-0.38,-0.07,590,574.42,602.17,101.78,FALSE,5,0,9429,S16_dekker_et_al,73.41,,chr11,35965530,36253686,LDLRAD3
S10_dekker_et_al,chr11_36589562_36601312_RAG1,0.909562148902725,1,-0.04,-0.13,19,16.02,17.64,14.58,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr11,36589562,36601312,RAG1
S12_dekker_et_al,chr11_36613492_36619829_RAG2,0.817997781041384,1,-0.24,-0.06,96,123.49,128.86,129.03,FALSE,5,0,9429,S12_dekker_et_al,73.41,,chr11,36613492,36619829,RAG2
S6_dekker_et_al,chr11_43702287_43878165_HSD17B12,0.720489646152214,1,-0.34,-0.07,3757,4047.44,4236.58,78.52,FALSE,5,0,9429,S6_dekker_et_al,73.41,,chr11,43702287,43878165,HSD17B12
S4_dekker_et_al,chr11_44117098_44273531_EXT2,0.729298556860168,1,0.36,0.04,12560,10388.59,10099.4,128.12,FALSE,5,0,9429,S4_dekker_et_al,73.41,,chr11,44117098,44273531,EXT2
S16_dekker_et_al,chr11_45825622_45834567_SLC35C1,0.282056268532678,1,1.04,0.09,2622,2167.91,2034.08,307.67,FALSE,5,0,9429,S16_dekker_et_al,73.41,,chr11,45825622,45834567,SLC35C1
S14_dekker_et_al,chr11_46698629_46722169_ARHGAP1,0.419693446746518,1,0.81,0.07,13879,10004.1,9558.18,306.58,FALSE,5,0,9429,S14_dekker_et_al,73.41,,chr11,46698629,46722169,ARHGAP1
S8_dekker_et_al,chr11_47269850_47290584_NR1H3,0.202592143933093,1,-1.24,-0.18,396,342.73,388.46,157.24,FALSE,5,0,9429,S8_dekker_et_al,73.41,,chr11,47269850,47290584,NR1H3
S6_dekker_et_al,chr11_47586981_47595013_PTPMT1,0.138271923790461,1,1.45,0.1,1744,1785.54,1667.92,635.86,FALSE,5,0,9429,S6_dekker_et_al,73.41,,chr11,47586981,47595013,PTPMT1
S12_dekker_et_al,chr11_57425215_57429337_CLP1,0.928575960483231,1,0.11,0.01,623,619.26,615.9,364.21,FALSE,5,0,9429,S12_dekker_et_al,73.41,,chr11,57425215,57429337,CLP1
S18_dekker_et_al,chr11_58601537_58612177_GLYATL2,0.959124585419373,1,0.05,-0.17,38,28.39,31.98,4.29,FALSE,5,0,9429,S18_dekker_et_al,73.41,,chr11,58601537,58612177,GLYATL2
S2_dekker_et_al,chr11_60609585_60618554_CCDC86,0.320092199794491,1,-0.97,-0.1,1425,1585.86,1698.51,263.62,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr11,60609585,60618554,CCDC86
S12_dekker_et_al,chr11_60618405_60623423_PTGDR2,0.639991406367388,1,-0.5,-0.11,53,59.94,64.89,937.32,FALSE,5,0,9429,S12_dekker_et_al,73.41,,chr11,60618405,60623423,PTGDR2
S6_dekker_et_al,chr11_61008647_61018916_PGA5,0.788566613128677,1,0.52,0.21,3,6.71,5.43,2.09,FALSE,5,0,9429,S6_dekker_et_al,73.41,,chr11,61008647,61018916,PGA5
S2_dekker_et_al,chr11_61276220_61278490_LRRC10B,0.529564801826812,1,0.88,0.51,4,1.98,1.06,1.95,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr11,61276220,61278490,LRRC10B
S16_dekker_et_al,chr11_62201015_62314278_AHNAK,0.641390797263302,1,-0.45,-0.08,189099,118584.61,125359.21,82.34,FALSE,5,0,9429,S16_dekker_et_al,73.41,,chr11,62201015,62314278,AHNAK
S14_dekker_et_al,chr11_62334482_62334543_MIR6747,0.971590250002767,1,-0.02,-0.3,8,9.18,11.59,2.7,FALSE,5,0,9429,S14_dekker_et_al,73.41,,chr11,62334482,62334543,MIR6747
S8_dekker_et_al,chr11_62342523_62358995_TUT1,0.429725672943997,1,-0.76,-0.07,1059,1051.92,1101.72,436.52,FALSE,5,0,9429,S8_dekker_et_al,73.41,,chr11,62342523,62358995,TUT1
S4_dekker_et_al,chr11_62432893_62433042_SNORA57,0.113557213842806,1,-1.66,-0.98,8,8.91,18.54,17.68,FALSE,5,0,9429,S4_dekker_et_al,73.41,,chr11,62432893,62433042,SNORA57
S2_dekker_et_al,chr11_62453877_62457002_LRRN4CL,0.0940324275527773,1,-1.75,-0.79,258,346.41,599.44,12.95,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr11,62453877,62457002,LRRN4CL
S14_dekker_et_al,chr11_62557286_62557357_MIR6748,0.732286317889413,1,0.56,0.16,14,14.03,12.36,1000,FALSE,5,0,9429,S14_dekker_et_al,73.41,,chr11,62557286,62557357,MIR6748
S4_dekker_et_al,chr11_62622092_62622167_SNORD28,0.352978595871139,1,-1.24,-0.44,13,22.21,30.6,60.27,FALSE,5,0,9429,S4_dekker_et_al,73.41,,chr11,62622092,62622167,SNORD28
S16_dekker_et_al,chr11_63706473_63724791_NAA40,0.226734100183575,1,1.2,0.1,1428,1505.53,1403.22,357.25,FALSE,5,0,9429,S16_dekker_et_al,73.41,,chr11,63706473,63724791,NAA40
S6_dekker_et_al,chr11_64011950_64014415_PPP1R14B,0.594550077916125,1,0.55,0.09,6227,5708.35,5375.8,66.91,FALSE,5,0,9429,S6_dekker_et_al,73.41,,chr11,64011950,64014415,PPP1R14B
S2_dekker_et_al,chr11_64013337_64015686_PPP1R14B-AS1,0.931783397848772,1,-0.06,-0.04,3270,2729.75,2796.49,35.05,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr11,64013337,64015686,PPP1R14B-AS1
S2_dekker_et_al,chr11_64067829_64072242_CATSPERZ,0.264298860304779,1,-1.66,-1.82,0,0,4.61,4.77,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr11,64067829,64072242,CATSPERZ
S10_dekker_et_al,chr11_64126633_64139687_RPS6KA4,0.440407026515159,1,-0.75,-0.06,4170,4066.63,4234.58,412.41,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr11,64126633,64139687,RPS6KA4
S18_dekker_et_al,chr11_64552389_64570686_MAP4K2,0.911967884332725,1,-0.09,-0.02,999,872.11,882.37,160.14,FALSE,5,0,9429,S18_dekker_et_al,73.41,,chr11,64552389,64570686,MAP4K2
S12_dekker_et_al,chr11_64781631_64789656_ARL2,0.18935153217525,1,1.31,0.14,2731,2658.68,2408.85,179.9,FALSE,5,0,9429,S12_dekker_et_al,73.41,,chr11,64781631,64789656,ARL2
S12_dekker_et_al,chr11_64981310_65010228_SLC22A20P,0.266997011929129,1,-1.25,-0.49,17,24.37,34.72,40.08,FALSE,5,0,9429,S12_dekker_et_al,73.41,,chr11,64981310,65010228,SLC22A20P
S14_dekker_et_al,chr11_65222756_65234480_LOC101927789,0.884424642204483,1,-0.11,-0.07,706,578.08,604.9,24,FALSE,5,0,9429,S14_dekker_et_al,73.41,,chr11,65222756,65234480,LOC101927789
S4_dekker_et_al,chr11_65365227_65381692_MAP3K11,0.90055049772776,1,-0.1,-0.01,3370,2489.46,2506.46,443.8,FALSE,5,0,9429,S4_dekker_et_al,73.41,,chr11,65365227,65381692,MAP3K11
S10_dekker_et_al,chr11_65383782_65404910_PCNX3,0.0345591295576399,1,-2.08,-0.12,5203,4036.7,4392.83,731.58,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr11,65383782,65404910,PCNX3
S14_dekker_et_al,chr11_65819834_65836779_SF3B2,0.901464961893633,1,-0.1,-0.01,17375,17021.12,17087.74,972.56,FALSE,5,0,9429,S14_dekker_et_al,73.41,,chr11,65819834,65836779,SF3B2
S10_dekker_et_al,chr11_66188474_66194178_NPAS4,0.953251760074889,1,0.19,0.01,34,28.1,27.68,20.79,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr11,66188474,66194178,NPAS4
S8_dekker_et_al,chr11_66240960_66247720_LOC101928069,0.123075083942187,1,1.46,0.17,668,548.51,488.3,230.77,FALSE,5,0,9429,S8_dekker_et_al,73.41,,chr11,66240960,66247720,LOC101928069
S4_dekker_et_al,chr11_66357646_66360534_CCDC87,0.920483891967024,1,0.21,0.03,32,22.18,21.72,19.03,FALSE,5,0,9429,S4_dekker_et_al,73.41,,chr11,66357646,66360534,CCDC87
S8_dekker_et_al,chr11_67165653_67169329_PPP1CA,0.593409871909147,1,0.53,0.03,7352,6271.09,6140.2,674.61,FALSE,5,0,9429,S8_dekker_et_al,73.41,,chr11,67165653,67169329,PPP1CA
S12_dekker_et_al,chr11_67250496_67258579_AIP,0.944449087082359,1,-0.05,-0.01,2756,2398.64,2408.33,442.38,FALSE,5,0,9429,S12_dekker_et_al,73.41,,chr11,67250496,67258579,AIP
S6_dekker_et_al,chr11_67351282_67354124_GSTP1,0.341226455562199,1,0.95,0.08,11757,10012.28,9475.76,290.23,FALSE,5,0,9429,S6_dekker_et_al,73.41,,chr11,67351282,67354124,GSTP1
S2_dekker_et_al,chr11_68816399_68858065_TPCN2,0.296143675228761,1,1.03,0.14,1568,1448.9,1319.09,123.43,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr11,68816399,68858065,TPCN2
S16_dekker_et_al,chr11_68850643_68850726_MIR3164,0.630268632081614,1,-1.43,-1.12,0,0,1.24,33.93,FALSE,5,0,9429,S16_dekker_et_al,73.41,,chr11,68850643,68850726,MIR3164
S10_dekker_et_al,chr11_69061621_69064754_MYEOV,1,1,0.11,-0.15,2,4.76,5.54,4.14,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr11,69061621,69064754,MYEOV
S14_dekker_et_al,chr11_70116795_70231418_PPFIA1,0.491358914010811,1,0.69,0.04,4901,4453.04,4318.99,551.14,FALSE,5,0,9429,S14_dekker_et_al,73.41,,chr11,70116795,70231418,PPFIA1
S2_dekker_et_al,chr11_71184548_71184614_MIR6754,0.339505789682861,1,-1.78,-1.55,0,0,1.28,11.43,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr11,71184548,71184614,MIR6754
S8_dekker_et_al,chr11_73111531_73309157_FAM168A,0.542023329425339,1,0.61,0.05,6132,4852.61,4692.98,328.88,FALSE,5,0,9429,S8_dekker_et_al,73.41,,chr11,73111531,73309157,FAM168A
S4_dekker_et_al,chr11_73386682_73472119_RAB6A,0.215196144829046,1,1.23,0.06,11475,10150.23,9714.25,848.78,FALSE,5,0,9429,S4_dekker_et_al,73.41,,chr11,73386682,73472119,RAB6A
S12_dekker_et_al,chr11_73882333_73965748_PPME1,0.789089245207282,1,-0.23,-0.13,4074,3206.54,3519.24,14.96,FALSE,5,0,9429,S12_dekker_et_al,73.41,,chr11,73882333,73965748,PPME1
S4_dekker_et_al,chr11_74201563_74204769_LIPT2,0.633213886223837,1,0.49,0.12,75,52.16,48.29,61.18,FALSE,5,0,9429,S4_dekker_et_al,73.41,,chr11,74201563,74204769,LIPT2
S8_dekker_et_al,chr11_75133437_75141674_KLHL35,0.380282041283182,1,-0.77,-0.26,211,120.68,144.64,32.67,FALSE,5,0,9429,S8_dekker_et_al,73.41,,chr11,75133437,75141674,KLHL35
S16_dekker_et_al,chr11_75273297_75283856_SERPINH1,0.354134800695259,1,0.93,0.1,154476,78744.28,73231.35,151.6,FALSE,5,0,9429,S16_dekker_et_al,73.41,,chr11,75273297,75283856,SERPINH1
S14_dekker_et_al,chr11_77377273_77531880_RSF1,0.536165461584325,1,-0.59,-0.05,4217,3258.83,3371.08,378.32,FALSE,5,0,9429,S14_dekker_et_al,73.41,,chr11,77377273,77531880,RSF1
S10_dekker_et_al,chr11_79113065_79113153_MIR708,1,1,-0.18,-0.07,0,0,0.11,1000,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr11,79113065,79113153,MIR708
S14_dekker_et_al,chr11_86013281_86056985_HIKESHI,0.853137053305938,1,0.21,0.02,1087,1163.55,1150.37,320.99,FALSE,5,0,9429,S14_dekker_et_al,73.41,,chr11,86013281,86056985,HIKESHI
S10_dekker_et_al,chr11_88026759_88070904_CTSC,0.862688775473737,1,0.22,0.03,2214,2364.41,2311.29,10.76,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr11,88026759,88070904,CTSC
S6_dekker_et_al,chr11_93211637_93276557_SMCO4,0.760869164771734,1,0.33,0.05,315,281.51,271.86,80.28,FALSE,5,0,9429,S6_dekker_et_al,73.41,,chr11,93211637,93276557,SMCO4
S18_dekker_et_al,chr11_93394847_93463524_CEP295,0.303311956773117,1,1.04,0.1,1002,1120.46,1042.12,243.16,FALSE,5,0,9429,S18_dekker_et_al,73.41,,chr11,93394847,93463524,CEP295
S12_dekker_et_al,chr11_93464668_93464739_SNORD6,0.140270489149424,1,-1.86,-1.01,4,5.34,12.03,40.11,FALSE,5,0,9429,S12_dekker_et_al,73.41,,chr11,93464668,93464739,SNORD6
S8_dekker_et_al,chr11_93551397_93583784_VSTM5,0.504324762050063,1,0.67,0.26,84,49.21,40.82,10.69,FALSE,5,0,9429,S8_dekker_et_al,73.41,,chr11,93551397,93583784,VSTM5
S2_dekker_et_al,chr11_94695784_94706776_CWC15,0.511322483196517,1,0.67,0.06,1575,1829.61,1759.4,330.24,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr11,94695784,94706776,CWC15
S4_dekker_et_al,chr11_96085928_96123083_CCDC82,0.351042687200258,1,0.96,0.11,1527,2260.31,2093.42,153.84,FALSE,5,0,9429,S4_dekker_et_al,73.41,,chr11,96085928,96123083,CCDC82
S10_dekker_et_al,chr11_105921824_105948465_KBTBD3,1,1,0.03,0,173,175.23,175.56,285.13,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr11,105921824,105948465,KBTBD3
S4_dekker_et_al,chr11_107373452_107436461_ALKBH8,0.269675149751303,1,1.12,0.14,556,767.98,697.62,161.44,FALSE,5,0,9429,S4_dekker_et_al,73.41,,chr11,107373452,107436461,ALKBH8
S8_dekker_et_al,chr11_107879623_107978488_CUL5,0.151431143452985,1,-1.41,-0.09,2698,2587.89,2746.2,769.74,FALSE,5,0,9429,S8_dekker_et_al,73.41,,chr11,107879623,107978488,CUL5
S12_dekker_et_al,chr11_108179245_108338258_C11orf65,0.608793049900511,1,-0.49,-0.07,1940,1633.22,1710.38,148.31,FALSE,5,0,9429,S12_dekker_et_al,73.41,,chr11,108179245,108338258,C11orf65
S2_dekker_et_al,chr11_108342842_108369111_POGLUT3,0.261910206838505,1,-1.12,-0.16,4050,4814.13,5383.94,112.71,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr11,108342842,108369111,POGLUT3
S12_dekker_et_al,chr11_109292915_109299893_C11orf87,0.29958783008513,1,-0.98,-0.93,500,514.48,982.83,4.3,FALSE,5,0,9429,S12_dekker_et_al,73.41,,chr11,109292915,109299893,C11orf87
S14_dekker_et_al,chr11_110045604_110167437_RDX,0.207127010382067,1,1.26,0.08,9133,9194.61,8695.5,523.96,FALSE,5,0,9429,S14_dekker_et_al,73.41,,chr11,110045604,110167437,RDX
S12_dekker_et_al,chr11_111783459_111797595_HSPB2-C11orf52,0.671419114904887,1,0.43,0.07,2031,1733.83,1647.78,59.9,FALSE,5,0,9429,S12_dekker_et_al,73.41,,chr11,111783459,111797595,HSPB2-C11orf52
S14_dekker_et_al,chr11_112046234_112089669_BCO2,1,1,0.03,-0.05,28,36.99,38.56,13.7,FALSE,5,0,9429,S14_dekker_et_al,73.41,,chr11,112046234,112089669,BCO2
S6_dekker_et_al,chr11_112097150_112104696_PTS,0.495626816040785,1,-0.67,-0.07,1146,1480.88,1551.37,292.36,FALSE,5,0,9429,S6_dekker_et_al,73.41,,chr11,112097150,112104696,PTS
S4_dekker_et_al,chr11_113668596_113746294_USP28,0.664907954343218,1,0.43,0.05,1680,1450.38,1404.21,181.77,FALSE,5,1,9429,S4_dekker_et_al,73.41,,chr11,113668596,113746294,USP28
S16_dekker_et_al,chr11_114271250_114281332_RBM7,0.53916047441747,1,-0.6,-0.07,1955,1894.29,1981.32,225.22,FALSE,5,0,9429,S16_dekker_et_al,73.41,,chr11,114271250,114281332,RBM7
S10_dekker_et_al,chr11_115626048_115630918_LINC00900,0.790958501865105,1,-0.17,-0.35,66,50.06,63.88,3.87,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr11,115626048,115630918,LINC00900
S12_dekker_et_al,chr11_116706466_116708666_APOA1,0.505593978394179,1,0.69,0.37,23,6.99,5.3,5.13,FALSE,5,0,9429,S12_dekker_et_al,73.41,,chr11,116706466,116708666,APOA1
S16_dekker_et_al,chr11_118230314_118269926_UBE4A,0.785758286539829,1,0.28,0.01,4401,3865.52,3826.37,882.16,FALSE,5,0,9429,S16_dekker_et_al,73.41,,chr11,118230314,118269926,UBE4A
S16_dekker_et_al,chr11_118398147_118401912_TTC36,0.225358723233143,1,1.05,0.46,35,25.86,18.58,20.88,FALSE,5,0,9429,S16_dekker_et_al,73.41,,chr11,118398147,118401912,TTC36
S14_dekker_et_al,chr11_118514717_118514797_MIR6716,0.950880384723704,1,-0.05,-0.01,527,415.96,419.96,152.41,FALSE,5,0,9429,S14_dekker_et_al,73.41,,chr11,118514717,118514797,MIR6716
S4_dekker_et_al,chr11_118764583_118781251_BCL9L,0.338401171371844,1,0.96,0.08,24367,13432.99,12662.82,251.52,FALSE,5,0,9429,S4_dekker_et_al,73.41,,chr11,118764583,118781251,BCL9L
S8_dekker_et_al,chr11_119225924_119252400_USP2,0.357959669219842,1,-0.9,-0.55,45,36.73,54.3,9.76,FALSE,5,0,9429,S8_dekker_et_al,73.41,,chr11,119225924,119252400,USP2
S12_dekker_et_al,chr11_121986047_121986923_BLID,0.966230895689426,1,0,-0.27,8,6.16,7.47,3.43,FALSE,5,0,9429,S12_dekker_et_al,73.41,,chr11,121986047,121986923,BLID
S2_dekker_et_al,chr11_122430654_122430727_TRK-TTT2-1,1,1,-0.56,-0.36,0,0,0.28,1000,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr11,122430654,122430727,TRK-TTT2-1
S18_dekker_et_al,chr11_124636393_124670302_MSANTD2,0.629579850037695,1,-0.49,-0.05,453,619.53,642.8,361.25,FALSE,5,0,9429,S18_dekker_et_al,73.41,,chr11,124636393,124670302,MSANTD2
S12_dekker_et_al,chr11_124964284_124981522_TMEM218,0.775851869972871,1,0.31,0.03,533,628.07,614.8,228.82,FALSE,5,0,9429,S12_dekker_et_al,73.41,,chr11,124964284,124981522,TMEM218
S8_dekker_et_al,chr11_125438003_125462463_STT3A-AS1,0.514523013209866,1,-0.63,-0.05,5534,5191.65,5364.75,448.87,FALSE,5,0,9429,S8_dekker_et_al,73.41,,chr11,125438003,125462463,STT3A-AS1
S10_dekker_et_al,chr11_134021182_134021258_SNORD153,0.882520159908922,1,0.19,0.02,313,301.68,297.47,168.44,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr11,134021182,134021258,SNORD153
S14_dekker_et_al,chr12_246576_258335_LOC574538,0.532624821483117,1,0.71,0.42,26,9.41,6.82,1.03,FALSE,5,0,9429,S14_dekker_et_al,73.41,,chr12,246576,258335,LOC574538
S10_dekker_et_al,chr12_569104_672675_B4GALNT3,0.990677004500209,1,0.12,-0.1,64,74.06,79.47,4.12,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr12,569104,672675,B4GALNT3
S2_dekker_et_al,chr12_1020901_1099207_RAD52,0.315505261752963,1,-1.01,-0.14,535,657.91,724.03,158.4,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr12,1020901,1099207,RAD52
S8_dekker_et_al,chr12_2921833_2968957_ITFG2,0.494472106648854,1,0.69,0.05,3614,4392.11,4233.5,368.66,FALSE,5,0,9429,S8_dekker_et_al,73.41,,chr12,2921833,2968957,ITFG2
S6_dekker_et_al,chr12_3000056_3050304_TULP3,0.83476791709626,1,0.23,0.01,3661,3374.42,3339.46,429.2,FALSE,5,0,9429,S6_dekker_et_al,73.41,,chr12,3000056,3050304,TULP3
S14_dekker_et_al,chr12_3186520_3395730_TSPAN9,0.226214670245517,1,-1.21,-0.23,2504,1877.57,2200.91,67,FALSE,5,0,9429,S14_dekker_et_al,73.41,,chr12,3186520,3395730,TSPAN9
S2_dekker_et_al,chr12_4758279_4803483_NDUFA9,0.192675107913101,1,-1.29,-0.08,2356,2411.54,2554.85,676.9,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr12,4758279,4803483,NDUFA9
S10_dekker_et_al,chr12_6548166_6560683_CD27-AS1,0.410630684712041,1,-0.81,-0.13,1054,1054.59,1151.56,108.38,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr12,6548166,6560683,CD27-AS1
S12_dekker_et_al,chr12_6603267_6641121_NCAPD2,0.342388410900642,1,0.95,0.09,5404,6467.45,6075.96,231.25,FALSE,5,0,9429,S12_dekker_et_al,73.41,,chr12,6603267,6641121,NCAPD2
S2_dekker_et_al,chr12_6679247_6716545_CHD4,0.044031869475288,1,1.99,0.11,25736,18838.11,17402.87,645.97,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr12,6679247,6716545,CHD4
S2_dekker_et_al,chr12_6775642_6798738_ZNF384,0.242796500950378,1,1.15,0.07,2861,2895.84,2761.88,779.23,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr12,6775642,6798738,ZNF384
S18_dekker_et_al,chr12_6993144_6993778_RPL13P5,0.850469063702255,1,-0.16,-0.04,131,142.6,146.64,140.29,FALSE,5,0,9429,S18_dekker_et_al,73.41,,chr12,6993144,6993778,RPL13P5
S8_dekker_et_al,chr12_7013985_7023393_LRRC23,0.330959682750958,1,-0.96,-0.22,248,256.02,299.23,55.17,FALSE,5,0,9429,S8_dekker_et_al,73.41,,chr12,7013985,7023393,LRRC23
S6_dekker_et_al,chr12_7276281_7282601_RBP5,0.997021753895649,1,0.03,-0.03,252,326.07,333.68,17.27,FALSE,5,0,9429,S6_dekker_et_al,73.41,,chr12,7276281,7282601,RBP5
S2_dekker_et_al,chr12_8373855_8380214_FAM90A1,0.068984553628076,1,-1.91,-1.59,9,5.97,19.36,5.63,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr12,8373855,8380214,FAM90A1
S8_dekker_et_al,chr12_8798538_8815422_MFAP5,0.884335715746514,1,0.18,0.02,27274,20487.06,20195.17,13.19,FALSE,5,1,9429,S8_dekker_et_al,73.41,,chr12,8798538,8815422,MFAP5
S8_dekker_et_al,chr12_10103866_10138194_CLEC12A,0.800267546418997,1,-0.28,-1.2,2,5.19,15.25,0.86,FALSE,5,0,9429,S8_dekker_et_al,73.41,,chr12,10103866,10138194,CLEC12A
S4_dekker_et_al,chr12_11148560_11150903_TAS2R20,0.393865172050986,1,-0.98,-0.36,21,24.48,31.9,43.63,FALSE,5,0,9429,S4_dekker_et_al,73.41,,chr12,11148560,11150903,TAS2R20
S14_dekker_et_al,chr12_11213963_11214893_TAS2R46,1,1,-1,-0.65,0,0,0.31,1.67,FALSE,5,0,9429,S14_dekker_et_al,73.41,,chr12,11213963,11214893,TAS2R46
S10_dekker_et_al,chr12_21917888_21927640_KCNJ8,0.724276298877208,1,0.41,0.13,616,235.17,214.15,4.29,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr12,21917888,21927640,KCNJ8
S16_dekker_et_al,chr12_22601479_22697480_C2CD5,0.180574559544216,1,1.34,0.14,1872,1825.99,1660.41,209.14,FALSE,5,0,9429,S16_dekker_et_al,73.41,,chr12,22601479,22697480,C2CD5
S12_dekker_et_al,chr12_26272962_26277970_BHLHE41,0.465295181254628,1,0.75,0.28,858,489.57,402.07,9.53,FALSE,5,1,9429,S12_dekker_et_al,73.41,,chr12,26272962,26277970,BHLHE41
S8_dekker_et_al,chr12_26488284_26986127_ITPR2,0.377726297086268,1,-0.87,-0.16,1462,1046.28,1165.13,79.95,FALSE,5,0,9429,S8_dekker_et_al,73.41,,chr12,26488284,26986127,ITPR2
S6_dekker_et_al,chr12_28343388_28703099_CCDC91,0.768603142468129,1,0.32,0.03,1584,1710.18,1679.45,298.76,FALSE,5,0,9429,S6_dekker_et_al,73.41,,chr12,28343388,28703099,CCDC91
S10_dekker_et_al,chr12_29302210_29488549_FAR2,0.258407371023448,1,1.1,0.23,632,650.14,554.44,48.07,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr12,29302210,29488549,FAR2
S2_dekker_et_al,chr12_31433517_31479121_SINHCAF,1,1,0.03,0,857,628.23,629.73,99.07,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr12,31433517,31479121,SINHCAF
S8_dekker_et_al,chr12_31742856_31768285_DENND5B-AS1,0.060581052761771,1,-1.84,-0.47,242,138.58,192.95,44.19,FALSE,5,0,9429,S8_dekker_et_al,73.41,,chr12,31742856,31768285,DENND5B-AS1
S10_dekker_et_al,chr12_46576845_46662826_SLC38A1,0.509247556439681,1,0.67,0.1,14078,13232.37,12374.36,87.1,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr12,46576845,46662826,SLC38A1
S14_dekker_et_al,chr12_48167020_48176534_SLC48A1,0.0877752144010791,1,1.66,0.21,1072,1022.52,882.12,142.59,FALSE,5,0,9429,S14_dekker_et_al,73.41,,chr12,48167020,48176534,SLC48A1
S18_dekker_et_al,chr12_49165757_49165820_MIR4701,0.389730069435328,1,-1.28,-0.64,4,4.56,7.8,1000,FALSE,5,0,9429,S18_dekker_et_al,73.41,,chr12,49165757,49165820,MIR4701
S2_dekker_et_al,chr12_50030281_50101188_FMNL3,0.682760061477745,1,0.42,0.04,5906,4139.36,4036.24,251.38,FALSE,5,0,9429,S2_dekker_et_al,73.41,,chr12,50030281,50101188,FMNL3
S10_dekker_et_al,chr12_50184934_50222196_NCKAP5L,0.0145284385212136,1,-2.41,-0.2,5480,3418.68,3925.18,349.97,FALSE,5,0,9429,S10_dekker_et_al,73.41,,chr12,50184934,50222196,NCKAP5L
